StartTime,01/04/19_16:26:08,EndTime,01/04/19_16:26:27
Motor Temp_raw, ,Motor Temp, ,DC Current, ,GLVVoltage, ,
0.943,107.000000,0.958,107.000000,1.052,1732610.923000,0.853,0.026250,
1.095,107.000000,1.109,107.000000,1.428,1732610.923000,1.346,0.030000,
1.469,107.000000,1.483,107.000000,1.534,1732610.923000,1.815,0.028750,
1.575,107.000000,1.588,107.000000,1.856,1732610.923000,2.339,0.013750,
3.993,114.000000,4.007,114.000000,4.066,396565.874000,2.882,0.030000,
4.110,114.000000,4.124,114.000000,4.180,396565.874000,3.412,0.030000,
 , , , , , ,3.920,0.017500,
